Date,Website,Visitors
01/10/2023,malaysiakini.com,15431407
01/11/2023,malaysiakini.com,15018107
01/12/2023,malaysiakini.com,15871353
01/01/2024,malaysiakini.com,17118647
01/02/2024,malaysiakini.com,15813784
01/03/2024,malaysiakini.com,16896083
01/04/2024,malaysiakini.com,17625140
01/05/2024,malaysiakini.com,18127286
01/06/2024,malaysiakini.com,15325722
01/07/2024,malaysiakini.com,15021793
01/08/2024,malaysiakini.com,14980912
01/09/2024,malaysiakini.com,14316867
01/10/2023,thestar.com.my,16252419
01/11/2023,thestar.com.my,15632028
01/12/2023,thestar.com.my,18244593
01/01/2024,thestar.com.my,18700851
01/02/2024,thestar.com.my,16133892
01/03/2024,thestar.com.my,19444963
01/04/2024,thestar.com.my,20525066
01/05/2024,thestar.com.my,19049877
01/06/2024,thestar.com.my,18468716
01/07/2024,thestar.com.my,15773949
01/08/2024,thestar.com.my,16885053
01/09/2024,thestar.com.my,14505768
01/10/2023,hmetro.com.my,14558234
01/11/2023,hmetro.com.my,13742672
01/12/2023,hmetro.com.my,13753343
01/01/2024,hmetro.com.my,14808607
01/02/2024,hmetro.com.my,12676621
01/03/2024,hmetro.com.my,13539153
01/04/2024,hmetro.com.my,11554210
01/05/2024,hmetro.com.my,13673886
01/06/2024,hmetro.com.my,13594804
01/07/2024,hmetro.com.my,15674716
01/08/2024,hmetro.com.my,15527652
01/09/2024,hmetro.com.my,13048785
01/10/2023,freemalaysiatoday.com,9811615
01/11/2023,freemalaysiatoday.com,8507193
01/12/2023,freemalaysiatoday.com,8806738
01/01/2024,freemalaysiatoday.com,8576643
01/02/2024,freemalaysiatoday.com,7745299
01/03/2024,freemalaysiatoday.com,10112686
01/04/2024,freemalaysiatoday.com,11875306
01/05/2024,freemalaysiatoday.com,11068700
01/06/2024,freemalaysiatoday.com,9147922
01/07/2024,freemalaysiatoday.com,9246392
01/08/2024,freemalaysiatoday.com,9890589
01/09/2024,freemalaysiatoday.com,8750242
01/10/2023,bharian.com.my,11020134
01/11/2023,bharian.com.my,10126513
01/12/2023,bharian.com.my,10545683
01/01/2024,bharian.com.my,11384366
01/02/2024,bharian.com.my,10150340
01/03/2024,bharian.com.my,12460506
01/04/2024,bharian.com.my,12236962
01/05/2024,bharian.com.my,14933242
01/06/2024,bharian.com.my,12761879
01/07/2024,bharian.com.my,13290888
01/08/2024,bharian.com.my,12833022
01/09/2024,bharian.com.my,11333086
01/10/2023,sinarharian.com.my,7406929
01/11/2023,sinarharian.com.my,6805810
01/12/2023,sinarharian.com.my,7527661
01/01/2024,sinarharian.com.my,6818011
01/02/2024,sinarharian.com.my,6386021
01/03/2024,sinarharian.com.my,8270058
01/04/2024,sinarharian.com.my,7685023
01/05/2024,sinarharian.com.my,9075758
01/06/2024,sinarharian.com.my,9149800
01/07/2024,sinarharian.com.my,9550466
01/08/2024,sinarharian.com.my,8917590
01/09/2024,sinarharian.com.my,9256277
01/10/2023,chinapress.com.my,7349909
01/11/2023,chinapress.com.my,6512954
01/12/2023,chinapress.com.my,7609422
01/01/2024,chinapress.com.my,7085065
01/02/2024,chinapress.com.my,5611305
01/03/2024,chinapress.com.my,5973328
01/04/2024,chinapress.com.my,6248812
01/05/2024,chinapress.com.my,5149736
01/06/2024,chinapress.com.my,5326171
01/07/2024,chinapress.com.my,5652485
01/08/2024,chinapress.com.my,5168647
01/09/2024,chinapress.com.my,4572324
01/10/2023,sinchew.com.my,6515689
01/11/2023,sinchew.com.my,5157711
01/12/2023,sinchew.com.my,5581174
01/01/2024,sinchew.com.my,4879633
01/02/2024,sinchew.com.my,3993625
01/03/2024,sinchew.com.my,5084698
01/04/2024,sinchew.com.my,5933577
01/05/2024,sinchew.com.my,5591486
01/06/2024,sinchew.com.my,4380362
01/07/2024,sinchew.com.my,4960605
01/08/2024,sinchew.com.my,5297807
01/09/2024,sinchew.com.my,4767668
01/10/2023,malaymail.com,6173881
01/11/2023,malaymail.com,7314265
01/12/2023,malaymail.com,7711570
01/01/2024,malaymail.com,8216481
01/02/2024,malaymail.com,6805977
01/03/2024,malaymail.com,6749361
01/04/2024,malaymail.com,6774895
01/05/2024,malaymail.com,6459840
01/06/2024,malaymail.com,5830845
01/07/2024,malaymail.com,7606344
01/08/2024,malaymail.com,9551295
01/09/2024,malaymail.com,8782478
01/10/2023,nst.com.my,7742834
01/11/2023,nst.com.my,6972781
01/12/2023,nst.com.my,7827343
01/01/2024,nst.com.my,9352871
01/02/2024,nst.com.my,8258302
01/03/2024,nst.com.my,9639281
01/04/2024,nst.com.my,8982514
01/05/2024,nst.com.my,8719152
01/06/2024,nst.com.my,7581592
01/07/2024,nst.com.my,10135432
01/08/2024,nst.com.my,10111485
